,Player,Team,Month,No.,PlaySet,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,GetSet,LostSet,TotalSet,Set,Point,AEff%,BAEff%
43,コクラムピンピチャヤ,KUROBEアクアフェアリーズ,11,208,30,366.0,149.0,33.0,40.7,4.97,164.0,62.0,19.0,37.8,11.0,0.37,99.0,6.0,8.0,24.0,10.1,1.0,0.0,0.0,0.0,2597,5613.0,4.0,20.0,158.0,201.0,160.0,198.0,167.0,188.0,93.0,93.0,38.0,34.0,616.0,714.0,191.0,204.0,205.0,107.0,45.0,8,22,17.0,13.0,166.0,31.7,26.2
44,コクラムピンピチャヤ,KUROBEアクアフェアリーズ,12,52,8,115.0,38.0,12.0,33.0,4.75,37.0,10.0,5.0,27.0,3.0,0.38,32.0,5.0,2.0,8.0,20.3,1.0,1.0,0.0,100.0,714,3183.0,0.0,6.0,50.0,46.0,44.0,50.0,37.0,50.0,39.0,50.0,0.0,0.0,170.0,196.0,27.0,25.0,27.0,27.0,0.0,2,6,0.0,8.0,46.0,22.6,13.5
45,サンティアゴアライジャダフニ,埼玉上尾メディックス,1,18,22,105.0,49.0,2.0,46.7,2.23,0.0,0.0,0.0,,13.0,0.59,36.0,1.0,2.0,3.0,3.5,3.0,2.0,0.0,66.7,2345,5056.0,11.0,7.0,147.0,135.0,141.0,127.0,143.0,137.0,74.0,66.0,16.0,14.0,521.0,479.0,154.0,162.0,182.0,78.0,22.0,13,9,7.0,15.0,63.0,44.8,
46,サンティアゴアライジャダフニ,埼玉上尾メディックス,2,21,22,95.0,45.0,6.0,47.4,2.05,0.0,0.0,0.0,,20.0,0.91,56.0,0.0,5.0,8.0,1.3,5.0,2.0,1.0,50.0,2931,5588.0,18.0,3.0,174.0,147.0,169.0,154.0,171.0,136.0,25.0,20.0,0.0,0.0,539.0,457.0,180.0,191.0,174.0,29.0,0.0,18,4,16.0,6.0,65.0,41.1,
47,サンティアゴアライジャダフニ,埼玉上尾メディックス,3,3,3,10.0,8.0,0.0,80.0,2.67,0.0,0.0,0.0,,2.0,0.67,6.0,0.0,1.0,3.0,8.3,0.0,0.0,0.0,,449,1055.0,3.0,0.0,25.0,16.0,25.0,14.0,25.0,19.0,0.0,0.0,0.0,0.0,75.0,49.0,23.0,22.0,25.0,0.0,0.0,3,0,3.0,0.0,10.0,80.0,
48,サンティアゴアライジャダフニ,埼玉上尾メディックス,10,6,6,35.0,15.0,1.0,42.9,2.5,0.0,0.0,0.0,,9.0,1.5,9.0,0.0,2.0,1.0,-2.8,1.0,0.0,1.0,50.0,590,6432.0,6.0,0.0,50.0,40.0,50.0,42.0,50.0,32.0,0.0,0.0,0.0,0.0,150.0,114.0,51.0,55.0,53.0,0.0,0.0,6,0,0.0,6.0,24.0,40.0,
49,サンティアゴアライジャダフニ,埼玉上尾メディックス,11,24,29,113.0,62.0,4.0,54.9,2.14,0.0,0.0,0.0,,16.0,0.55,52.0,1.0,5.0,7.0,2.9,3.0,2.0,0.0,66.7,2599,4939.0,15.0,9.0,184.0,168.0,179.0,159.0,182.0,182.0,75.0,58.0,29.0,26.0,649.0,593.0,214.0,194.0,224.0,81.0,36.0,17,12,21.0,8.0,79.0,51.3,
50,サンティアゴアライジャダフニ,埼玉上尾メディックス,12,6,9,39.0,16.0,3.0,41.0,1.78,0.0,0.0,0.0,,6.0,0.67,13.0,2.0,1.0,1.0,15.4,3.0,2.0,0.0,66.7,710,1600.0,2.0,4.0,53.0,49.0,50.0,50.0,37.0,50.0,35.0,50.0,15.0,13.0,190.0,212.0,61.0,54.0,47.0,46.0,15.0,4,5,0.0,9.0,24.0,33.3,
51,ジャンティタントゥイー,PFUブルーキャッツ,1,96,31,173.0,84.0,11.0,48.6,2.71,4.0,2.0,1.0,50.0,27.0,0.87,92.0,4.0,16.0,24.0,6.5,6.0,2.0,2.0,50.0,3069,6569.0,11.0,13.0,166.0,193.0,189.0,182.0,198.0,194.0,139.0,153.0,15.0,8.0,707.0,730.0,194.0,224.0,232.0,171.0,16.0,15,16,16.0,15.0,115.0,42.2,25.0
52,ジャンティタントゥイー,PFUブルーキャッツ,2,72,22,124.0,55.0,9.0,44.4,2.5,6.0,1.0,2.0,16.7,6.0,0.27,57.0,2.0,10.0,10.0,3.5,0.0,0.0,0.0,,2564,7841.0,2.0,16.0,120.0,143.0,105.0,150.0,120.0,142.0,68.0,78.0,15.0,10.0,428.0,523.0,155.0,148.0,156.0,91.0,17.0,5,17,4.0,18.0,63.0,37.1,-16.7
53,ジャンティタントゥイー,PFUブルーキャッツ,3,12,4,16.0,6.0,2.0,37.5,1.5,3.0,0.0,1.0,0.0,4.0,1.0,15.0,1.0,1.0,2.0,8.3,1.0,1.0,0.0,100.0,447,624.0,0.0,3.0,25.0,21.0,17.0,25.0,20.0,25.0,18.0,25.0,0.0,0.0,80.0,96.0,25.0,27.0,27.0,26.0,0.0,1,3,0.0,4.0,11.0,25.0,-33.3
